symbol
RELIANCE
TCS
INFY
HDFCBANK
ICICIBANK
SBIN
AXISBANK
KOTAKBANK
LT
ITC
BHARTIARTL
HINDUNILVR
ASIANPAINT
MARUTI
TATAMOTORS
M&M
BAJFINANCE
BAJAJFINSV
SUNPHARMA
CIPLA
DRREDDY
DIVISLAB
ONGC
NTPC
POWERGRID
COALINDIA
TATASTEEL
JSWSTEEL
HINDALCO
ULTRACEMCO
GRASIM
ADANIENT
ADANIPORTS
WIPRO
HCLTECH
TECHM
TITAN
NESTLEIND
BRITANNIA
EICHERMOT
HEROMOTOCO
BPCL
IOC
UPL
SBILIFE
HDFCLIFE
BAJAJ-AUTO
APOLLOHOSP
LTIM
